Introducing contestants...
* Player 1, weighing 23 bytes, "zork" ("I'M ALIIIIVE") !
* Player 2, weighing 617 bytes, "helltrain" ("choo-choo, motherf*****s !") !
Process 721 hasn't lived for 224 cycles (CTD 136)
Process 719 hasn't lived for 183 cycles (CTD 136)
Process 715 hasn't lived for 168 cycles (CTD 136)
Process 707 hasn't lived for 223 cycles (CTD 136)
Process 702 hasn't lived for 208 cycles (CTD 136)
Process 680 hasn't lived for 168 cycles (CTD 136)
Process 662 hasn't lived for 208 cycles (CTD 136)
Process 639 hasn't lived for 138 cycles (CTD 136)
Process 634 hasn't lived for 178 cycles (CTD 136)
Process 626 hasn't lived for 218 cycles (CTD 136)
Process 614 hasn't lived for 163 cycles (CTD 136)
Process 603 hasn't lived for 164 cycles (CTD 136)
Process 602 hasn't lived for 203 cycles (CTD 136)
Process 589 hasn't lived for 204 cycles (CTD 136)
Process 588 hasn't lived for 243 cycles (CTD 136)
Process 587 hasn't lived for 163 cycles (CTD 136)
Process 581 hasn't lived for 148 cycles (CTD 136)
Process 573 hasn't lived for 244 cycles (CTD 136)
Process 571 hasn't lived for 203 cycles (CTD 136)
Process 564 hasn't lived for 188 cycles (CTD 136)
Process 553 hasn't lived for 243 cycles (CTD 136)
Process 545 hasn't lived for 233 cycles (CTD 136)
